City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,cidreira,-30.1811,-50.2056,26.96,66,0,5.53,BR,1676227329
84,bluff,-46.6,168.3333,13.35,91,99,2.97,NZ,1676227330
85,kongolo,-5.3833,27.0,21.35,95,99,1.8,CD,1676227330
86,qaanaaq,77.484,-69.3632,-32.73,94,73,2.18,GL,1676227330
87,geraldton,-28.7667,114.6,21.23,78,0,5.14,AU,1676227331
88,norman wells,65.282,-126.8329,-23.98,70,100,1.03,CA,1676227331
89,mae ramat,16.984,98.5166,17.39,69,3,0.39,TH,1676227391
90,portland,45.5234,-122.6762,10.58,88,100,1.54,US,1676227392
91,tasiilaq,65.6145,-37.6368,-7.91,72,100,4.73,GL,1676227392
92,shorapur,16.5167,76.75,23.6,22,57,3.19,IN,1676227392
93,tuktoyaktuk,69.4541,-133.0374,-38.0,74,0,1.03,CA,1676227393
94,sechura,-5.5569,-80.8222,30.58,52,52,6.51,PE,1676227393
95,esperance,-33.8667,121.9,15.22,78,0,4.56,AU,1676227393
96,bowen,-20.0167,148.2333,25.59,75,7,2.96,AU,1676227394
97,ambon,-3.6954,128.1814,27.08,78,40,2.57,ID,1676227394
98,yar-sale,66.8333,70.8333,-11.83,93,74,7.92,RU,1676227395
99,xintai,35.9006,117.7519,0.3,61,100,5.47,CN,1676227231
100,saskylakh,71.9167,114.0833,-38.72,96,65,3.96,RU,1676227395
101,srednekolymsk,67.45,153.6833,-36.21,99,100,0.58,RU,1676227395
102,new norfolk,-42.7826,147.0587,11.72,65,1,0.45,AU,1676227396
103,mataura,-46.1927,168.8643,11.78,96,63,0.66,NZ,1676227396
104,katsuura,35.1333,140.3,14.01,87,100,7.05,JP,1676227396
105,fukue,32.6881,128.8419,13.55,92,100,10.95,JP,1676227397
106,hithadhoo,-0.6,73.0833,27.15,67,3,5.24,MV,1676227397
107,te anau,-45.4167,167.7167,11.73,91,34,0.34,NZ,1676227397
108,port alfred,-33.5906,26.891,22.88,93,100,2.68,ZA,1676227398
109,pevek,69.7008,170.3133,-30.06,93,100,0.93,RU,1676227398
110,lavrentiya,65.5833,-171.0,-28.73,92,100,2.68,RU,1676227399
111,biak,-0.9131,122.8766,25.11,77,100,1.63,ID,1676227399
112,katete,-0.7818,29.7544,23.23,42,95,2.41,UG,1676227400
113,dondo,-19.6094,34.7431,27.73,93,100,1.81,MZ,1676227400
114,tiksi,71.6872,128.8694,-41.57,100,71,1.45,RU,1676227400
115,jardim,-21.4803,-56.1381,26.11,73,100,2.01,BR,1676227401
116,beringovskiy,63.05,179.3167,-33.27,93,25,2.85,RU,1676227401
117,dingle,10.9995,122.6711,22.74,93,18,3.54,PH,1676227401
118,dubrovka,53.6907,33.5071,-7.69,92,19,4.02,RU,1676227402
119,cabo san lucas,22.8909,-109.9124,27.56,27,20,6.17,MX,1676227348
120,ilulissat,69.2167,-51.1,-22.99,54,0,3.09,GL,1676227402
